rank,file_name,page_count,has_tables,keyword_score,semantic_score,cosine_sim,skills_score,experience_score,resume_years,formatting_score,ats_score,grade,matched_keywords,matched_skills,missing_skills,word_count
1,10265057.pdf,1,False,26.0,22.89,0.7631,9.0,15.0,12.0,5,77.89,Good,52,9,['data analysis'],702
2,22450718.pdf,2,False,16.0,13.63,0.4542,0.0,15.0,5.0,5,49.63,Needs Work,32,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",991
3,46260230.pdf,3,False,12.0,14.51,0.4838,0.0,15.0,22.0,5,46.51,Needs Work,24,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1323
4,19796840.pdf,3,False,15.5,9.88,0.3295,1.0,15.0,10.0,5,46.38,Needs Work,31,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",2035
5,27295996.pdf,2,False,11.0,12.22,0.4075,2.0,15.0,11.0,5,45.22,Needs Work,22,2,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",919
6,15651486.pdf,2,False,9.5,13.66,0.4552,2.0,15.0,11.0,5,45.16,Needs Work,19,2,"['pcb', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",884
7,11584809.pdf,2,False,12.0,12.56,0.4185,0.0,15.0,12.0,5,44.56,Needs Work,24,0,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",657
8,17111768.pdf,3,False,11.5,11.81,0.3938,1.0,15.0,16.0,5,44.31,Needs Work,23,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",1397
9,10247517.pdf,2,False,12.5,10.78,0.3594,1.0,15.0,13.0,5,44.28,Needs Work,25,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",883
10,18067556.pdf,4,False,12.0,8.08,0.2694,4.0,15.0,14.0,5,44.08,Needs Work,24,4,"['pcb', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",2668
11,26801767.pdf,3,False,10.0,12.7,0.4234,1.0,15.0,30.0,5,43.7,Needs Work,20,1,"['pcb', 'rf', 'python', 'sql', 'awr', 'ansoft', 'matlab', 'labview', 'spice']",1222
12,20674668.pdf,2,False,10.5,10.98,0.3659,2.0,15.0,11.0,5,43.48,Needs Work,21,2,"['pcb', 'rf', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",787
13,11580408.pdf,2,False,9.5,12.87,0.429,1.0,15.0,56.0,5,43.37,Needs Work,19,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",791
14,25959103.pdf,2,False,10.0,12.26,0.4086,1.0,15.0,2025.0,5,43.26,Needs Work,20,1,"['pcb', 'rf', 'python', 'awr', 'ansoft', 'data analysis', 'matlab', 'labview', 'spice']",692
